Longitude,Latitude,Datetime,UHI Index,Region,nearest_building_distance,building_density,avg_building_age,avg_building_elevation,avg_building_height,avg_height_above_ground,nearest_building_height,nearest_building_height_above_ground,nearest_building_elevation,Air Temp at Surface,Relative Humidity,Avg Wind Speed,Wind Direction,Solar Flux,traffic_volume,avg_traffic_volume,cloud_fraction,LST,NDVI,SB01,SB02,SB03,SB04,SB06,SB07,SB08,SB8A,SB11,SB12,SNDVI
-73.90916667,40.81310667,2021-07-24 15:53:00,1.030288903,Bronx,18.718887655254058,10662,76.40967923466516,59.7322501878287,39.7345419255325,-19.997708262296207,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,38.393941100000006,0.2000000029802322,846.0,1042.0,846.0,1042.0,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0,-0.0028873917228103944
-73.90918667,40.813045,2021-07-24 15:53:00,1.030288903,Bronx,20.434537211434623,10647,76.42575373344604,59.67027179535409,39.76138225865889,-19.90888953669519,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,38.393941100000006,0.2000000029802322,846.0,1042.0,846.0,1042.0,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0,-0.0028873917228103944
-73.909215,40.81297833,2021-07-24 15:53:00,1.023797758,Bronx,21.030103611212628,10629,76.40436541537304,59.60047103155912,39.763418784966554,-19.83705224659256,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.78553354000002,0.2000000029802322,846.0,583.0,846.0,583.0,818.0,818.0,709.0,709.0,709.0,709.0,0.09752321981424149
-73.90924167,40.81290833,2021-07-24 15:53:00,1.023797758,Bronx,20.704158041687265,10607,76.44744036956726,59.55017464363259,39.77524479851506,-19.774929845117533,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.78553354000002,0.2000000029802322,846.0,581.0,846.0,581.0,733.0,733.0,657.0,657.0,657.0,657.0,0.061389337641357025
-73.90925667,40.812845,2021-07-24 15:53:00,1.021634043,Bronx,20.2499838692046,10588,76.46146581035134,59.51361830905996,39.77597108211462,-19.737647226945338,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.35828104000001,0.2000000029802322,846.0,655.0,846.0,655.0,744.0,744.0,745.0,745.0,745.0,745.0,0.06428571428571428
-73.90928,40.81277667,2021-07-24 15:53:00,1.021634043,Bronx,20.19200702338997,10566,76.41737649063032,59.43271417740713,39.7752093533169,-19.65750482409022,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.35828104000001,0.2000000029802322,846.0,655.0,846.0,655.0,744.0,744.0,745.0,745.0,745.0,745.0,0.06428571428571428
-73.90931167,40.81271,2021-07-24 15:53:00,1.015142899,Bronx,20.701436740351323,10543,76.43640330076828,59.37724380283028,39.79256933398708,-19.584674468843197,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.35828104000001,0.2000000029802322,846.0,677.0,846.0,677.0,783.0,783.0,767.0,767.0,767.0,767.0,0.062326869806094184
-73.90934,40.81264333,2021-07-24 15:53:00,1.015142899,Bronx,20.56821146074692,10523,76.4407488358833,59.329812541630986,39.8092325533457,-19.520579988285277,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.35828104000001,0.2000000029802322,1152.0,706.0,1152.0,706.0,825.0,825.0,851.0,851.0,851.0,851.0,0.09312780989081568
-73.90936333,40.81256167,2021-07-24 15:53:00,1.012979184,Bronx,18.6544180299905,10503,76.42911549081215,59.26980646391458,39.78267649810659,-19.48712996580799,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.09167548000005,0.2000000029802322,1152.0,703.0,1152.0,703.0,852.0,852.0,835.0,835.0,835.0,835.0,0.0858257477243173
-73.90938333,40.812485,2021-07-24 15:53:00,1.012979184,Bronx,17.26344299504741,10488,76.42448512585813,59.20486873508353,39.78840086116754,-19.41646787391599,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.09167548000005,0.2000000029802322,1152.0,714.0,1152.0,714.0,874.0,874.0,766.0,766.0,766.0,766.0,0.03513513513513514
-73.90939333,40.81240333,2021-07-24 15:53:00,1.010815469,Bronx,15.635938103136859,10480,76.45667938931298,59.18591764593484,39.77689572631508,-19.409021919619757,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.09167548000005,0.2000000029802322,1152.0,714.0,1152.0,714.0,874.0,874.0,766.0,766.0,766.0,766.0,0.03513513513513514
-73.90942,40.81233,2021-07-24 15:53:00,1.010815469,Bronx,15.731024292571087,10467,76.44635521161746,59.15066003443658,39.780446949944526,-19.37021308449206,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.09167548000005,0.2000000029802322,1152.0,738.0,1152.0,738.0,792.0,792.0,759.0,759.0,759.0,759.0,0.014028056112224449
-73.90945333,40.81223667,2021-07-24 15:53:00,1.010815469,Bronx,16.435268969030773,10454,76.42557872584656,59.073843501580306,39.79912791161,-19.27471558997031,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,37.06433132000001,0.2000000029802322,1152.0,665.0,1152.0,665.0,717.0,717.0,743.0,743.0,743.0,743.0,0.05539772727272727
-73.90947667,40.81216333,2021-07-24 15:53:00,1.010815469,Bronx,17.56582052045049,10441,76.44670050761421,59.0234944380514,39.78429243224492,-19.239202005806483,67.0,53.0,14.0,27.2,47.3,2.6,165.0,621.0,29,30.0,0.10334632,36.70202119999999,0.2000000029802322,1152.0,966.0,1152.0,966.0,1134.0,1134.0,1160.0,1160.0,1160.0,1160.0,0.09125117591721543
